CarID,MPG,Horsepower,Displacement,Cylinders,Weight,Acceleration,Model
Chevrolet Chevelle Malibu,18,130,307,8,3504,12,70
Buick Skylark 320,15,165,350,8,3693,11.5,70
Plymouth Satellite,18,150,318,8,3436,11,70
AMC Rebel SST,16,150,304,8,3433,12,70
Ford Torino,17,140,302,8,3449,10.5,70
Ford Galaxie 500,15,198,429,8,4341,10,70
Chevrolet Impala,14,220,454,8,4354,9,70
Plymouth Fury iii,14,215,440,8,4312,8.5,70
Pontiac Catalina,14,225,455,8,4425,10,70
AMC Ambassador DPL,15,190,390,8,3850,8.5,70
Citroen DS-21 Pallas,0,115,133,4,3090,17.5,70
Chevrolet Chevelle Concours (sw),0,165,350,8,4142,11.5,70
Ford Torino (sw),0,153,351,8,4034,11,70
Plymouth Satellite (sw),0,175,383,8,4166,10.5,70
AMC Rebel SST (sw),0,175,360,8,3850,11,70
Dodge Challenger SE,15,170,383,8,3563,10,70
Plymouth 'Cuda 340,14,160,340,8,3609,8,70
Ford Mustang Boss 302,0,140,302,8,3353,8,70
Chevrolet Monte Carlo,15,150,400,8,3761,9.5,70
Buick Estate Wagon (sw),14,225,455,8,3086,10,70
Toyota Corolla Mark ii,24,95,113,4,2372,15,70
Plymouth Duster,22,95,198,6,2833,15.5,70
AMC Hornet,18,97,199,6,2774,15.5,70
Ford Maverick,21,85,200,6,2587,16,70
Datsun PL510,27,88,97,4,2130,14.5,70
Volkswagen 1131 Deluxe Sedan,26,46,97,4,1835,20.5,70
Peugeot 504,25,87,110,4,2672,17.5,70
Audi 100 LS,24,90,107,4,2430,14.5,70
Saab 99e,25,95,104,4,2375,17.5,70
BMW 2002,26,113,121,4,2234,12.5,70
AMC Gremlin,21,90,199,6,2648,15,70
Ford F250,10,215,360,8,4615,14,70
Chevy C20,10,200,307,8,4376,15,70
Dodge D200,11,210,318,8,4382,13.5,70
Hi 1200D,9,193,304,8,4732,18.5,70
Datsun PL510,27,88,97,4,2130,14.5,71
Chevrolet Vega 2300,28,90,140,4,2264,15.5,71
Toyota Corolla,25,95,113,4,2228,14,71
Ford Pinto,25,0,98,4,2046,19,71
Volkswagen Super Beetle 117,0,48,97,4,1978,20,71
AMC Gremlin,19,100,232,6,2634,13,71
Plymouth Satellite Custom,16,105,225,6,3439,15.5,71
Chevrolet Chevelle Malibu,17,100,250,6,3329,15.5,71
Ford Torino 500,19,88,250,6,3302,15.5,71
AMC Matador,18,100,232,6,3288,15.5,71
Chevrolet Impala,14,165,350,8,4209,12,71
Pontiac Catalina Brougham,14,175,400,8,4464,11.5,71
Ford Galaxie 500,14,153,351,8,4154,13.5,71
Plymouth Fury iii,14,150,318,8,4096,13,71
Dodge Monaco (sw),12,180,383,8,4955,11.5,71
